Variation,Path #,Paths in variation,Stages,Self-moves,Board hops,Terminal,Walked today,Stage sequence (entry→terminal),Forms used (real)
Prodigies - Next Cycle,7,9,14,3,10,Completed,YES (primary),Evolution Prep Orientation → Accelerated Evolution Level Form → Prodigies Preparation Form → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Ready for Diagnostics → Diagnostics → ATC Preparation → ATC Briefing → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · Prodigies Preparation Form · Self Evolution Report
Prodigies - Next Cycle,8,9,11,3,7,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → Prodigies Preparation Form → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Ready for Diagnostics → Diagnostics → ATC Preparation → Self Evolution Report → Completed,Accelerated Evolution Level · Prodigies Preparation Form · Self Evolution Report
Prodigies - Next Cycle,9,9,13,3,9,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → Prodigies Preparation Form → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Ready for Diagnostics → Diagnostics → ATC Preparation → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · Prodigies Preparation Form · Self Evolution Report
Prodigies - First Cycle,1,9,6,1,4,Diagnostics Readiness Changework,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → Scope Enhancement → Ready for Diagnostics → Diagnostics → Diagnostics Readiness Changework,Accelerated Evolution Level
Prodigies - First Cycle,2,9,8,2,5,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → Scope Enhancement → Ready for Diagnostics → Diagnostics → ATC Briefing → Self Evolution Report → Completed,Accelerated Evolution Level · Self Evolution Report
Prodigies - First Cycle,3,9,10,2,7,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → Scope Enhancement → Ready for Diagnostics → Diagnostics → ATC Briefing → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · Self Evolution Report
Prodigies - First Cycle,4,9,9,2,6,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → Scope Enhancement → Ready for Diagnostics → Diagnostics → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · Self Evolution Report
Prodigies - First Cycle,5,9,7,2,4,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → Scope Enhancement → Ready for Diagnostics → Diagnostics → Self Evolution Report → Completed,Accelerated Evolution Level · Self Evolution Report
Prodigies - First Cycle,6,9,9,2,6,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → Scope Enhancement → Ready for Diagnostics → Diagnostics → ATC Preparation → ATC Briefing → Self Evolution Report → Completed,Accelerated Evolution Level · Self Evolution Report
Prodigies - First Cycle,7,9,11,2,8,Completed,YES (primary),Evolution Prep Orientation → Accelerated Evolution Level Form → Scope Enhancement → Ready for Diagnostics → Diagnostics → ATC Preparation → ATC Briefing → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · Self Evolution Report
Prodigies - First Cycle,8,9,8,2,5,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → Scope Enhancement → Ready for Diagnostics → Diagnostics → ATC Preparation → Self Evolution Report → Completed,Accelerated Evolution Level · Self Evolution Report
Prodigies - First Cycle,9,9,10,2,7,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → Scope Enhancement → Ready for Diagnostics → Diagnostics → ATC Preparation → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · Self Evolution Report
uP! - First Cycle,1,9,10,4,5,Diagnostics Readiness Changework,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Aspiration Report → ATC Orientation Form → ATC Orientation Group Call → Scope Enhancement → Guided Self ATC → Ready for Diagnostics → Diagnostics → Diagnostics Readiness Changework,Accelerated Evolution Level · uP! Life Aspiration Report · ATC Understanding Validation · Guided Pre-ATC
uP! - First Cycle,2,9,12,5,6,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Aspiration Report → ATC Orientation Form → ATC Orientation Group Call → Scope Enhancement → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Briefing → Self Evolution Report → Completed,Accelerated Evolution Level · uP! Life Aspiration Report · ATC Understanding Validation · Guided Pre-ATC · Self Evolution Report
uP! - First Cycle,3,9,14,5,8,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Aspiration Report → ATC Orientation Form → ATC Orientation Group Call → Scope Enhancement → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Briefing → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · uP! Life Aspiration Report · ATC Understanding Validation · Guided Pre-ATC · Self Evolution Report
uP! - First Cycle,4,9,13,5,7,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Aspiration Report → ATC Orientation Form → ATC Orientation Group Call → Scope Enhancement → Guided Self ATC → Ready for Diagnostics → Diagnostics → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · uP! Life Aspiration Report · ATC Understanding Validation · Guided Pre-ATC · Self Evolution Report
uP! - First Cycle,5,9,11,5,5,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Aspiration Report → ATC Orientation Form → ATC Orientation Group Call → Scope Enhancement → Guided Self ATC → Ready for Diagnostics → Diagnostics → Self Evolution Report → Completed,Accelerated Evolution Level · uP! Life Aspiration Report · ATC Understanding Validation · Guided Pre-ATC · Self Evolution Report
uP! - First Cycle,6,9,13,5,7,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Aspiration Report → ATC Orientation Form → ATC Orientation Group Call → Scope Enhancement → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → ATC Briefing → Self Evolution Report → Completed,Accelerated Evolution Level · uP! Life Aspiration Report · ATC Understanding Validation · Guided Pre-ATC · Self Evolution Report
uP! - First Cycle,7,9,15,5,9,Completed,YES (primary),Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Aspiration Report → ATC Orientation Form → ATC Orientation Group Call → Scope Enhancement → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → ATC Briefing → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · uP! Life Aspiration Report · ATC Understanding Validation · Guided Pre-ATC · Self Evolution Report
uP! - First Cycle,8,9,12,5,6,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Aspiration Report → ATC Orientation Form → ATC Orientation Group Call → Scope Enhancement → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → Self Evolution Report → Completed,Accelerated Evolution Level · uP! Life Aspiration Report · ATC Understanding Validation · Guided Pre-ATC · Self Evolution Report
uP! - First Cycle,9,9,14,5,8,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Aspiration Report → ATC Orientation Form → ATC Orientation Group Call → Scope Enhancement → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · uP! Life Aspiration Report · ATC Understanding Validation · Guided Pre-ATC · Self Evolution Report
uP! - Next Cycle,1,9,11,4,6,Diagnostics Readiness Changework,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → Diagnostics Readiness Changework,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC
uP! - Next Cycle,2,9,13,5,7,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Briefing → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - Next Cycle,3,9,15,5,9,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Briefing → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - Next Cycle,4,9,14,5,8,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - Next Cycle,5,9,12,5,6,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - Next Cycle,6,9,14,5,8,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → ATC Briefing → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - Next Cycle,7,9,16,5,10,Completed,YES (primary),Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → ATC Briefing → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - Next Cycle,8,9,13,5,7,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - Next Cycle,9,9,15,5,9,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - 3rd Cycle,1,8,11,4,6,Diagnostics Readiness Changework,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → Diagnostics Readiness Changework,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC
uP! - 3rd Cycle,2,8,13,5,7,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Briefing → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - 3rd Cycle,3,8,15,5,9,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Briefing → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - 3rd Cycle,4,8,14,5,8,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - 3rd Cycle,5,8,14,5,8,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → ATC Briefing → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - 3rd Cycle,6,8,16,5,10,Completed,YES (primary),Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → ATC Briefing → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - 3rd Cycle,7,8,13,5,7,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - 3rd Cycle,8,8,15,5,9,Completed,pending,Evolution Prep Orientation → Accelerated Evolution Level Form → uP! Life Report → Scope Enhancement → Evolution Mapping Activity → In Evolution Mapping Activity → Self Evaluation Form → Guided Self ATC → Ready for Diagnostics → Diagnostics → ATC Preparation → uP! Readiness Changework → Review → Self Evolution Report → Completed,Accelerated Evolution Level · B!G Life Report / Legacy Life Report / uP! Life Report · Evolution Mapping Report · Guided Pre-ATC · Self Evolution Report
uP! - Prep Hold,1,1,1,0,0,uP! Prep Process - Hold,YES (primary),uP! Prep Process - Hold,